Clock,Time of arrival (secs),Base Station No. 
8:09,545.32,12
8:09,545.32,8
8:09,545.91,14
8:09,546.23,3
8:09,551.3,12
8:09,552.51,10
8:09,552.69,1
8:09,555.57,2
8:09,555.91,5
8:09,556.06,15
8:09,557.07,0
8:09,557.34,11
8:09,559.09,5
8:09,561.44,15
8:09,563.18,4
8:09,563.61,4
8:09,565.25,16
8:09,566.57,14
8:09,567.15,8
8:09,570.36,15
8:09,572.7,9
8:09,573.25,13
8:09,581.61,16
8:09,583.32,3
8:09,585.75,2
8:09,586.42,2
8:09,586.86,17
8:09,588.78,5
8:09,590.3,7
8:09,590.44,1
8:09,592.9,13
8:09,593.79,4
8:09,593.98,11
8:09,595.05,8
8:09,595.88,14
8:09,596.73,3
8:09,598.66,18
8:10,600.7,7
8:10,600.78,1
8:10,601.01,10
8:10,603.28,15
8:10,604.47,18
8:10,609.69,9
8:10,611.81,8
8:10,612.13,15
8:10,614.1,1
8:10,614.25,1
8:10,615.03,17
8:10,616.9,6
8:10,617.57,19
8:10,619.28,6
8:10,620.08,18
8:10,620.78,7
8:10,621.22,16
8:10,622.91,8
8:10,625.52,6
8:10,626.35,10
8:10,626.77,19
8:10,626.88,6
8:10,627.91,13
8:10,628.1,16
8:10,628.61,7
8:10,628.71,14
8:10,629.55,19
8:10,629.66,14
8:10,635.47,8
8:10,642.47,1
8:10,644.26,9
8:10,644.49,8
8:10,644.58,16
8:10,644.7,14
8:10,646.51,4
8:10,648.8,3
8:10,650.33,8
8:10,651.85,4
8:10,652.16,8
8:10,653.66,13
8:10,654.26,3
8:10,655.86,17
8:10,656.52,1
8:10,657.09,3
8:10,657.27,5
8:10,657.51,2
8:10,659.48,13
8:10,659.72,3
8:11,664.65,11
8:11,665.43,3
8:11,667.94,1
8:11,673.12,8
8:11,674.41,5
8:11,674.89,16
8:11,674.94,5
8:11,674.97,9
8:11,675.09,16
8:11,675.52,0
8:11,675.99,15
8:11,676.06,8
8:11,677.37,10
8:11,678.54,1
8:11,678.61,17
8:11,680.15,12
8:11,680.16,6
8:11,685.23,1
8:11,686.44,15
8:11,687.92,6
8:11,688.12,0
8:11,688.47,18
8:11,689.32,1
8:11,690.28,11
8:11,691.27,8
8:11,693.44,0
8:11,693.53,6
8:11,693.78,15
8:11,697.32,8
8:11,697.5,17
8:11,698.86,8
8:11,699.23,19
8:11,700.67,16
8:11,701.17,11
8:11,701.23,13
8:11,701.28,4
8:11,706.28,10
8:11,706.72,4
8:11,708.9,0
8:11,710.46,9
8:11,711.72,16
8:11,713.45,6
8:11,718.29,0
8:11,718.39,12
8:11,719.2,12
8:11,719.52,0
8:11,719.53,19
8:12,720.11,14
8:12,726.88,17
8:12,727.24,12
8:12,729.85,3
8:12,730.24,7
8:12,733.33,13
8:12,734.21,2
8:12,734.24,4
8:12,743.07,12
8:12,746.13,6
8:12,746.99,17
8:12,748.62,8
8:12,756.62,18
8:12,757.42,4
8:12,757.57,9
8:12,759.45,14
8:12,761.44,15
8:12,763.1,4
8:12,763.32,3
8:12,763.92,1
8:12,764.82,6
8:12,764.95,6
8:12,765.05,12
8:12,766.35,2
8:12,767.86,14
8:12,770.32,14
8:12,770.66,1
8:12,770.68,17
8:12,770.82,5
8:12,773.69,7
8:12,775.23,10
8:12,775.89,13
8:12,776.28,17
8:12,777.62,7
8:12,777.9,16
8:13,782.61,1
8:13,786.36,17
8:13,786.99,9
8:13,789.62,10
8:13,789.87,17
8:13,790.27,8
8:13,791.1,16
8:13,792.54,16
8:13,792.56,3
8:13,794.3,13
8:13,796.01,1
8:13,798.27,2
8:13,799.58,3
8:13,800.14,15
8:13,800.55,7
8:13,802.86,6
8:13,808.73,14
8:13,809.55,7
8:13,810.73,11
8:13,810.88,6
8:13,812.11,9
8:13,815.75,8
8:13,819.38,12
8:13,821.38,13
8:13,821.96,12
8:13,822.2,15
8:13,822.49,11
8:13,822.53,6
8:13,823.89,8
8:13,824,3
8:13,824.99,4
8:13,825.61,17
8:13,826.92,18
8:13,827.17,13
8:13,827.78,9
8:13,828.78,2
8:13,829.98,12
8:13,830.17,0
8:13,830.74,18
8:13,831.18,13
8:13,832.04,12
8:13,834.19,16
8:13,836.06,14
8:13,839.12,11
8:13,839.76,5
8:14,840.94,13
8:14,840.95,13
8:14,842.89,18
8:14,845.71,17
8:14,845.96,11
8:14,847.29,5
8:14,848.14,14
8:14,848.83,8
8:14,849.43,17
8:14,850.49,17
8:14,850.9,13
8:14,852.11,12
8:14,853.32,8
8:14,853.95,13
8:14,857.68,15
8:14,859.42,6
8:14,859.94,0
8:14,861.23,5
8:14,863.04,5
8:14,863.11,12
8:14,863.69,1
8:14,863.71,9
8:14,868.88,15
8:14,868.99,4
8:14,869.3,9
8:14,869.88,12
8:14,871.53,4
8:14,873.98,12
8:14,874,19
8:14,878.14,6
8:14,878.16,14
8:14,879.66,18
8:14,884.11,8
8:14,884.84,4
8:14,886.36,1
8:14,889.14,12
8:14,889.67,4
8:14,891.82,7
8:14,892.04,18
8:14,892.05,12
8:14,892.63,16
8:14,894.94,15
8:15,906.3,18
8:15,906.46,6
8:15,907.09,7
8:15,908.59,16
8:15,911.4,18
8:15,912.73,6
8:15,914.68,10
8:15,915.92,13
8:15,918.16,6
8:15,918.35,17
8:15,921.78,8
8:15,921.84,19
8:15,923.13,2
8:15,923.99,7
8:15,926.71,13
8:15,928.64,9
8:15,929.82,5
8:15,930.37,9
8:15,931.07,8
8:15,932.98,8
8:15,933.37,1
8:15,935.78,1
8:15,936.76,7
8:15,937.4,16
8:15,938.67,10
8:15,940.26,8
8:15,941.08,8
8:15,941.16,0
8:15,942.24,7
8:15,942.44,7
8:15,944.39,2
8:15,945.43,9
8:15,948.06,9
8:15,948.24,13
8:15,952.36,1
8:15,958.43,14
8:15,958.7,12
8:16,961.75,1
8:16,961.91,5
8:16,963.02,0
8:16,963.49,16
8:16,965.34,15
8:16,969.31,9
8:16,971.72,12
8:16,973.3,1
8:16,973.67,18
8:16,975.47,16
8:16,977.11,8
8:16,977.26,7
8:16,978.55,12
8:16,978.96,15
8:16,981.56,18
8:16,987.42,8
8:16,989.86,14
8:16,990.94,9
8:16,993.55,10
8:16,995.21,1
8:16,996.5,19
8:16,998.21,19
8:16,998.87,11
8:16,999.02,8
8:16,1000.76,6
8:16,1001.24,11
8:16,1001.39,13
8:16,1001.54,0
8:16,1004.22,18
8:16,1005.36,12
8:16,1006.74,7
8:16,1008.44,1
8:16,1013.5,4
8:16,1013.62,18
8:16,1013.62,0
8:16,1013.96,14
8:16,1017.4,4
8:16,1017.82,2
8:17,1020.34,12
8:17,1020.62,18
8:17,1021.04,11
8:17,1022.55,4
8:17,1023.84,19
8:17,1025.39,1
8:17,1026.78,11
8:17,1026.81,18
8:17,1029.07,2
8:17,1031.22,14
8:17,1033.08,15
8:17,1034.19,6
8:17,1035.83,6
8:17,1037.94,2
8:17,1039.26,18
8:17,1040.4,4
8:17,1041.46,13
8:17,1041.89,1
8:17,1043.06,18
8:17,1044.37,17
8:17,1046.83,0
8:17,1047.52,14
8:17,1049.58,14
8:17,1049.81,13
8:17,1050.75,1
8:17,1050.92,7
8:17,1051.72,0
8:17,1052.17,13
8:17,1052.94,14
8:17,1053.39,10
8:17,1053.46,3
8:17,1055.91,1
8:17,1056.13,1
8:17,1056.27,9
8:17,1057,4
8:17,1058.01,5
8:17,1058.59,7
8:17,1059.14,7
8:17,1062.44,1
8:17,1065.17,9
8:17,1066.12,2
8:17,1066.38,2
8:17,1067.7,19
8:17,1068.46,7
8:17,1069.41,17
8:17,1074.14,0
8:17,1074.22,9
8:17,1075.19,0
8:17,1075.85,15
8:17,1075.92,3
8:17,1076.58,8
8:17,1079.91,9
8:18,1080.59,8
8:18,1082.29,16
8:18,1082.42,7
8:18,1082.45,8
8:18,1084.77,14
8:18,1086.17,13
8:18,1086.24,15
8:18,1088.81,12
8:18,1090.01,14
8:18,1090.43,6
8:18,1090.86,1
8:18,1091.36,18
8:18,1092.23,1
8:18,1093.52,1
8:18,1093.71,10
8:18,1095.47,18
8:18,1095.55,13
8:18,1097.21,10
8:18,1097.95,0
8:18,1098.01,7
8:18,1098.53,11
8:18,1099.14,5
8:18,1099.99,8
8:18,1100.51,16
8:18,1100.59,18
8:18,1100.78,2
8:18,1101.22,0
8:18,1102.05,18
8:18,1106.95,0
8:18,1107.57,7
8:18,1107.84,15
8:18,1107.86,11
8:18,1115.74,3
8:18,1117.64,5
8:18,1118.11,6
8:18,1120.41,16
8:18,1121.74,2
8:18,1121.92,12
8:18,1124.55,12
8:18,1124.74,2
8:18,1125.13,1
8:18,1127.23,15
8:18,1127.43,14
8:18,1128.71,15
8:18,1131.57,18
8:18,1133.71,9
8:18,1134.44,14
8:18,1135.34,5
8:18,1139.98,16
8:18,1140,11
8:19,1140.77,4
8:19,1143.67,14
8:19,1144.63,5
8:19,1144.84,3
8:19,1145.35,1
8:19,1147.11,7
8:19,1148.63,1
8:19,1149.76,4
8:19,1151.7,17
8:19,1153.05,16
8:19,1154.82,19
8:19,1156.03,18
8:19,1157.55,2
8:19,1158.17,0
8:19,1162.8,12
8:19,1168.37,0
8:19,1168.73,16
8:19,1169.73,17
8:19,1169.75,12
8:19,1169.82,8
8:19,1170.6,4
8:19,1170.66,8
8:19,1172.47,10
8:19,1172.78,5
8:19,1173.31,8
8:19,1174.87,19
8:19,1175.07,6
8:19,1175.45,11
8:19,1176.39,10
8:19,1176.8,3
8:19,1177.64,3
8:19,1177.69,17
8:19,1181.39,1
8:19,1181.75,9
8:19,1182.3,11
8:19,1182.49,10
8:19,1183.71,18
8:19,1185.75,1
8:19,1186.13,6
8:19,1187.55,3
8:19,1188.64,14
8:19,1190.42,2
8:19,1191.25,1
8:19,1191.4,7
8:19,1191.72,16
8:19,1193.64,8
8:19,1194.28,8
8:19,1195.14,11
8:19,1195.29,9
8:19,1195.96,0
8:19,1196.11,6
8:20,1204.16,0
8:20,1205.57,4
8:20,1205.79,16
8:20,1209.32,17
8:20,1211.46,11
8:20,1212.21,4
8:20,1215.38,1
8:20,1215.77,2
8:20,1219.85,5
8:20,1220.24,0
8:20,1220.38,2
8:20,1222.96,2
8:20,1223.68,15
8:20,1225.02,12
8:20,1226.25,10
8:20,1227.4,15
8:20,1228.7,8
8:20,1229.05,1
8:20,1229.89,18
8:20,1230.05,11
8:20,1230.61,5
8:20,1230.7,14
8:20,1230.95,2
8:20,1233.45,14
8:20,1233.99,0
8:20,1234.63,18
8:20,1237.07,4
8:20,1237.56,11
8:20,1238.55,1
8:20,1241.44,16
8:20,1242.77,3
8:20,1245.03,2
8:20,1246.26,1
8:20,1246.45,3
8:20,1246.54,1
8:20,1247.34,1
8:20,1247.78,0
8:20,1247.94,12
8:20,1248.09,11
8:20,1254.52,16
8:20,1257.71,12
8:20,1258.4,6
8:21,1263.76,1
8:21,1264.37,17
8:21,1266.19,1
8:21,1266.78,6
8:21,1267.01,8
8:21,1267.7,0
8:21,1267.83,8
8:21,1270.72,2
8:21,1276.94,1
8:21,1277.11,13
8:21,1279.28,1
8:21,1281.61,2
8:21,1285.16,9
8:21,1285.39,0
8:21,1286.31,14
8:21,1289.6,16
8:21,1290.35,10
8:21,1290.54,12
8:21,1291.41,8
8:21,1292.13,1
8:21,1292.59,0
8:21,1294.11,3
8:21,1294.64,11
8:21,1296.38,4
8:21,1296.52,4
8:21,1296.52,15
8:21,1296.73,0
8:21,1296.89,17
8:21,1297.96,6
8:21,1298.02,4
8:21,1298.66,8
8:21,1301.84,6
8:21,1303.27,9
8:21,1303.32,11
8:21,1305.23,5
8:21,1306.41,3
8:21,1307.09,12
8:21,1307.67,14
8:21,1307.8,14
8:21,1308.01,14
8:21,1308.09,11
8:21,1310.24,5
8:21,1311.3,5
8:21,1312.73,2
8:21,1315.7,11
8:21,1316.13,10
8:21,1318.36,9
8:21,1319.63,10
8:22,1320.1,11
8:22,1320.32,2
8:22,1321.71,4
8:22,1322.73,2
8:22,1326.3,18
8:22,1327.33,7
8:22,1331.01,18
8:22,1333.04,12
8:22,1335.08,15
8:22,1337.78,11
8:22,1338.19,13
8:22,1338.97,14
8:22,1342,4
8:22,1345,2
8:22,1347.04,0
8:22,1351.53,8
8:22,1357.39,10
8:22,1361.54,7
8:22,1363.57,16
8:22,1363.65,1
8:22,1364.64,8
8:22,1365.34,0
8:22,1365.85,2
8:22,1366.52,16
8:22,1366.56,9
8:22,1369,17
8:22,1371.74,16
8:22,1371.8,8
8:22,1373.22,14
8:22,1373.34,3
8:22,1376.27,7
8:22,1376.96,17
8:22,1377.85,14
8:23,1380.44,3
8:23,1382.56,11
8:23,1384.06,12
8:23,1386.59,14
8:23,1387.33,4
8:23,1393.5,6
8:23,1395.03,3
8:23,1406.46,11
8:23,1408.03,18
8:23,1408.38,19
8:23,1409.63,19
8:23,1410.97,11
8:23,1411.42,9
8:23,1412.55,1
8:23,1412.89,6
8:23,1416.11,18
8:23,1416.4,4
8:23,1416.77,1
8:23,1421.96,4
8:23,1423.69,14
8:23,1426.55,12
8:23,1432.92,1
8:23,1433.05,9
8:23,1433.1,17
8:23,1433.29,11
8:23,1433.52,13
8:23,1433.73,11
8:23,1433.85,4
8:23,1434.68,15
8:23,1435.03,11
8:24,1440.15,5
8:24,1440.27,17
8:24,1440.36,8
8:24,1442.05,17
8:24,1442.46,5
8:24,1443.25,13
8:24,1445.67,10
8:24,1451.81,19
8:24,1451.88,18
8:24,1451.99,0
8:24,1452.54,0
8:24,1452.9,0
8:24,1453.66,17
8:24,1454.58,0
8:24,1456,16
8:24,1457.15,2
8:24,1457.26,3
8:24,1459.63,4
8:24,1461.48,15
8:24,1463.44,18
8:24,1463.8,17
8:24,1464.76,5
8:24,1465.81,16
8:24,1466.12,3
8:24,1468.56,2
8:24,1468.88,15
8:24,1469.61,12
8:24,1470.48,8
8:24,1472.65,8
8:24,1475.63,5
8:24,1477.37,10
8:24,1478.44,13
8:24,1480.34,17
8:24,1482.12,7
8:24,1482.29,2
8:24,1482.99,18
8:24,1485.15,19
8:24,1485.55,7
8:24,1486.14,4
8:24,1486.88,2
8:24,1486.93,10
8:24,1487.36,16
8:24,1489.72,9
8:24,1489.97,9
8:24,1490.88,5
8:24,1491.08,2
8:24,1491.52,17
8:24,1494.87,7
8:24,1495.38,0
8:24,1496.51,14
8:24,1497.8,12
8:24,1498.31,6
8:25,1500.2,13
8:25,1500.57,17
8:25,1501.29,10
8:25,1501.36,6
8:25,1504.47,14
8:25,1506.15,16
8:25,1507.2,16
8:25,1508.3,0
8:25,1513.25,7
8:25,1515.16,18
8:25,1516.58,12
8:25,1516.74,16
8:25,1516.95,16
8:25,1518.15,6
8:25,1519.79,7
8:25,1520.27,15
8:25,1520.33,9
8:25,1520.64,4
8:25,1521.3,6
8:25,1522.13,18
8:25,1522.76,10
8:25,1523.26,16
8:25,1525,7
8:25,1526.31,11
8:25,1526.8,9
8:25,1526.98,7
8:25,1529.82,9
8:25,1530.67,18
8:25,1532.24,16
8:25,1533.79,11
8:25,1534.85,5
8:25,1534.89,7
8:25,1535.69,11
8:25,1537.75,14
8:25,1537.83,15
8:25,1538.02,6
8:25,1538.85,10
8:25,1540.33,15
8:25,1541.17,18
8:25,1541.94,13
8:25,1543.82,7
8:25,1544.87,17
8:25,1547.58,1
8:25,1549.71,7
8:25,1550.33,0
8:25,1552.25,8
8:25,1552.8,7
8:25,1553.36,16
8:25,1556.24,14
8:25,1558.29,14
8:25,1559.47,18
8:26,1560.92,12
8:26,1561.44,13
8:26,1562.18,15
8:26,1563.13,5
8:26,1563.23,6
8:26,1563.37,17
8:26,1563.45,9
8:26,1563.76,6
8:26,1565.69,5
8:26,1566.3,16
8:26,1568.91,14
8:26,1571.96,7
8:26,1572.96,10
8:26,1573.57,14
8:26,1574.99,12
8:26,1575.29,11
8:26,1576.43,11
8:26,1579.85,3
8:26,1582.15,0
8:26,1583.23,0
8:26,1583.74,17
8:26,1583.87,19
8:26,1584,8
8:26,1585.97,16
8:26,1586.31,18
8:26,1587.24,5
8:26,1587.28,3
8:26,1588.39,8
8:26,1589.21,1
8:26,1589.22,2
8:26,1590.05,4
8:26,1590.74,10
8:26,1590.81,18
8:26,1596.79,15
8:26,1599.31,17
8:26,1600.61,7
8:26,1603.32,11
8:26,1604.22,8
8:26,1605.87,8
8:26,1610.68,0
8:26,1610.93,3
8:26,1614.34,8
8:26,1616.41,9
8:26,1617.82,15
8:26,1618.01,6
8:27,1620.03,16
8:27,1623.74,11
8:27,1624.33,17
8:27,1627.97,5
8:27,1628.54,18
8:27,1630.31,6
8:27,1630.62,11
8:27,1631.72,15
8:27,1632.61,12
8:27,1634.94,10
8:27,1635.44,18
8:27,1635.95,18
8:27,1636.68,6
8:27,1637.3,0
8:27,1638.76,13
8:27,1638.98,7
8:27,1641.04,17
8:27,1642.28,8
8:27,1643.76,6
8:27,1644.17,8
8:27,1645.72,7
8:27,1646.19,9
8:27,1647.04,8
8:27,1647.96,5
8:27,1648.52,3
8:27,1649.17,4
8:27,1650.96,7
8:27,1651.27,16
8:27,1654.04,17
8:27,1656.72,0
8:27,1657.57,11
8:27,1657.65,13
8:27,1657.87,15
8:27,1660.11,12
8:27,1661.46,19
8:27,1664.98,5
8:27,1665.83,9
8:27,1667.71,3
8:27,1668.31,10
8:27,1671.16,12
8:27,1671.76,3
8:27,1671.82,9
8:27,1675.87,17
8:27,1677.73,19
8:27,1679.69,0
8:28,1681.6,14
8:28,1682.48,3
8:28,1683.07,14
8:28,1683.75,17
8:28,1685.15,17
8:28,1685.54,14
8:28,1686.66,5
8:28,1687.09,10
8:28,1688.14,10
8:28,1690.99,8
8:28,1692.44,9
8:28,1692.79,16
8:28,1694.57,1
8:28,1696.92,12
8:28,1699.85,19
8:28,1699.96,3
8:28,1702.12,9
8:28,1703.05,8
8:28,1704.2,13
8:28,1706.62,12
8:28,1706.96,4
8:28,1707.83,17
8:28,1710.25,19
8:28,1711.81,12
8:28,1713.13,15
8:28,1715.25,1
8:28,1715.37,14
8:28,1717.57,8
8:28,1718.23,14
8:28,1718.43,7
8:28,1718.99,18
8:28,1719.95,6
8:28,1720.53,15
8:28,1722.77,19
8:28,1723.57,9
8:28,1724.99,10
8:28,1727.26,2
8:28,1728.3,0
8:28,1732.38,8
8:28,1733.94,9
8:28,1736.54,3
8:28,1738.74,14
8:28,1738.91,9
8:28,1738.99,19
8:28,1739.09,8
8:29,1740.54,0
8:29,1741.17,14
8:29,1741.42,14
8:29,1743.59,2
8:29,1743.95,10
8:29,1743.95,1
8:29,1748.54,13
8:29,1748.64,1
8:29,1748.7,16
8:29,1748.72,13
8:29,1749.43,18
8:29,1749.52,14
8:29,1752.66,16
8:29,1753.66,3
8:29,1753.77,4
8:29,1753.87,13
8:29,1754.78,18
8:29,1755.7,14
8:29,1760.33,13
8:29,1761.97,3
8:29,1762.89,4
8:29,1765.45,2
8:29,1766.13,1
8:29,1766.38,1
8:29,1767.66,0
8:29,1768.4,2
8:29,1768.47,19
8:29,1769.42,11
8:29,1770.76,19
8:29,1772.22,11
8:29,1773.33,2
8:29,1773.45,4
8:29,1774.69,1
8:29,1775.58,6
8:29,1776.26,1
8:29,1785.73,16
8:29,1785.85,4
8:29,1785.93,15
8:29,1786.24,3
8:29,1790.09,7
